,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,0.0036001818,0.01556015,0.013616428,0.01527644,0.01718126,0.0268227,0.04179738,0.047630645,0.049270228,0.051208474,0.05032527,0.05122479,0.050919406,0.052621637,0.04849382,0.042635582,0.05326045,0.045190204,0.027017746,0.017107852,0.027820313,0.020654008
1,0.0032893915,0.008760265,0.007676102,0.009184096,0.005532416,0.01343703,0.03343323,0.03910987,0.039835304,0.040561587,0.0421728,0.04365385,0.045765832,0.049068656,0.049969144,0.046554614,0.04488482,0.040193383,0.023249675,0.021611558,0.029310657,0.032604408
2,0.0004845943,0.002811958,0.0056244773,0.0068912744,0.0023955284,0.0076243854,0.025857357,0.036652777,0.038448267,0.040813714,0.050864547,0.056285907,0.05756053,0.056888655,0.058628406,0.05791507,0.055358104,0.05486913,0.06900765,0.08276563,0.067484066,0.044268694
3,0.00872551,0.011783189,0.021277009,0.02393024,0.0126746455,0.012701391,0.02842951,0.0438965,0.04055249,0.045900118,0.05949277,0.07062539,0.0659094,0.056538034,0.052945945,0.05416779,0.055787105,0.065797694,0.08481642,0.090703614,0.07763206,0.05096101
4,0.026720872,0.022617461,0.028837008,0.03320945,0.026754268,0.022406213,0.031150553,0.044434257,0.04655714,0.040668286,0.054617476,0.065680586,0.05064757,0.044348866,0.048617683,0.052202053,0.0647769,0.06802445,0.071050316,0.08398721,0.057536207,0.038239323
5,0.046513036,0.03957145,0.041293036,0.036481436,0.032545894,0.030742139,0.03224675,0.040903986,0.04390867,0.03497547,0.051870517,0.062067255,0.0424634,0.037582085,0.039627977,0.052283183,0.054889612,0.053270616,0.055886816,0.063420445,0.045584507,0.036994085
6,0.047119558,0.050091557,0.05192375,0.041547842,0.036254346,0.047086578,0.044463668,0.03586073,0.026980486,0.022544177,0.041477207,0.06648078,0.053320937,0.039461344,0.03642741,0.041032128,0.039801236,0.03949666,0.045368034,0.051786166,0.0544799,0.05871546
7,0.05031464,0.064819194,0.063067615,0.028648164,0.029557403,0.038804144,0.035533525,0.02735232,0.010487287,0.00870133,0.03267776,0.07310057,0.07838241,0.057856467,0.04179268,0.034978718,0.027653113,0.02845104,0.03690011,0.049918298,0.06013696,0.06970738
8,0.05463558,0.069184184,0.05776762,0.02298229,0.02148439,0.023328401,0.019698516,0.013972366,0.0041521946,0.0043968903,0.031029303,0.082213014,0.11671742,0.0879017,0.062360857,0.037890684,0.025002955,0.01595156,0.01690502,0.032478645,0.049599763,0.06612237
9,0.056730285,0.06611121,0.05046361,0.022589646,0.015123226,0.00896407,0.003759098,0.0023563418,0.0021558597,0.00863245,0.03996385,0.09414137,0.14250949,0.15639178,0.12132463,0.046581876,0.019939588,0.012372042,0.009011148,0.022233296,0.03678333,0.052662697
10,0.056514062,0.061253935,0.050866313,0.02233871,0.012437922,0.004655084,0.0006195607,0.00075902697,0.0057246913,0.022926554,0.05528561,0.12551956,0.19667576,0.25153124,0.21292916,0.09279235,0.030786378,0.017425798,0.009400279,0.017235074,0.029195383,0.042822767
11,0.054121584,0.059242513,0.05397403,0.02582218,0.011183779,0.0023234955,5.191029e-09,0.00053956016,0.009735701,0.03718468,0.072544135,0.16038072,0.27113467,0.4281891,0.4674643,0.28092715,0.0959782,0.037262663,0.018077489,0.0136949,0.026341572,0.036399134
12,0.049820498,0.0584467,0.061077543,0.031981543,0.011164709,0.0017543301,0.0,0.0009241558,0.014105687,0.041214347,0.087487504,0.1735058,0.3457853,0.6590051,0.9773689,0.7750988,0.2735517,0.07790604,0.031013241,0.017995046,0.025813455,0.03293466
13,0.045734342,0.056550615,0.06109343,0.036884587,0.015561872,0.004560212,0.0029223606,0.005803294,0.018929234,0.039410412,0.086893536,0.16489461,0.28623983,0.5887857,1.0,0.9669311,0.40427643,0.11314429,0.03567793,0.025128633,0.027322605,0.03086356
14,0.039937776,0.05015421,0.054644663,0.037557893,0.024573466,0.013503297,0.011709402,0.015570368,0.027401842,0.04315694,0.08160669,0.14411896,0.20292419,0.3168995,0.5219189,0.57597995,0.29017666,0.08044147,0.024837948,0.027299656,0.029434154,0.02741055
15,0.034178507,0.04681505,0.04743837,0.03932282,0.033423558,0.020158306,0.02756192,0.032790285,0.044410154,0.064193785,0.09360835,0.12715895,0.1562377,0.17446883,0.19833335,0.18496773,0.09540386,0.021203436,0.007206348,0.011199736,0.019788204,0.021193942
16,0.03166209,0.044546373,0.045608632,0.07821431,0.07224661,0.035647064,0.037893534,0.06395311,0.089098126,0.1044669,0.112785555,0.12383702,0.13314085,0.14128165,0.13094206,0.10517135,0.0285122,0.0019508803,0.0006965403,0.007923393,0.014881293,0.016571911
17,0.026470669,0.040285904,0.07895208,0.2336051,0.32327762,0.11514725,0.05577626,0.085131094,0.10732385,0.13639504,0.12821132,0.124290176,0.1277478,0.12915151,0.12435073,0.10687871,0.03239534,0.000793179,0.0018461777,0.016743207,0.03226997,0.027465608
18,0.020877395,0.04216923,0.11345749,0.37661543,0.4386846,0.179098,0.09148089,0.09025408,0.11819927,0.12547979,0.11929976,0.116434984,0.117012545,0.11611295,0.11440541,0.10452262,0.049431525,0.014228812,0.016141525,0.059867203,0.04826814,0.04987584
19,0.024822822,0.040809013,0.10584445,0.23745114,0.22460371,0.13229193,0.091336235,0.10360776,0.11610082,0.11069696,0.105630435,0.10250892,0.10081433,0.099626,0.10059541,0.10260265,0.07420286,0.03827513,0.031797532,0.0747614,0.06981347,0.070814595
20,0.028504437,0.04836816,0.07647909,0.109585546,0.104442626,0.07090943,0.07033201,0.08334436,0.08770187,0.086135305,0.08486222,0.08443712,0.08443362,0.08370435,0.08370816,0.084984414,0.07537054,0.06067042,0.050297074,0.07947283,0.08552783,0.10868794
21,0.041124422,0.053930342,0.071347415,0.08321921,0.07829002,0.070700884,0.0727774,0.07791063,0.07970076,0.07942957,0.07916571,0.07862617,0.07757858,0.07652281,0.075725906,0.07351451,0.069757506,0.069694705,0.07371459,0.09407379,0.08743365,0.10683963
